"unit","group_name_partner","date_and_time","borough","locationtype","location","event_name","event_type","category","classification","attendance","audience"
"Recreation","Central Recreation Art Instructor- Soomi","2018-06-20T15:30:00.000","Manhattan","Recreation Center","Asser Levy Recreation Center","Children's Art Exploration Exhibition","Local Event","Arts/Culture",,"20","Children;#General Public"
"Recreation",,"2019-06-21T11:00:00.000","Manhattan","Recreation Center","Chelsea Recreation Center","Senior Social","Agency Produced Event","Fitness","Dance","34","Seniors"
"Recreation",,"2019-06-22T09:00:00.000","Manhattan","Recreation Center","Chelsea Recreation Center","Family Fit Soca Dance","Community Based Event","Fitness","Dance","28","Adults;#Young Adult;#Seniors;#General Public"
"Recreation",,"2019-01-22T18:00:00.000","Manhattan","Recreation Center","Recreation Center 54","AC&F: Watercolor workshop","Agency Produced Event","Arts/Culture","AC&F","54","Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Urban Park Rangers","Public","2019-06-28T14:30:00.000","Brooklyn","Pool","Commodore barry","Cool Pools","Agency Produced Event","Nature","Cool Pools","45","General Public"
"Urban Park Rangers",,"2019-06-27T10:30:00.000","Manhattan","Pool","Dry Dock","Buggin' Out!","Agency Produced Event","Nature","Cool Pools","75","General Public"
"Recreation",,"2019-03-29T18:30:00.000","Manhattan","Recreation Center","Recreation Center 54","Strictly Tango","Agency Produced Event","Arts/Culture","Dance","62","Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Urban Park Rangers",,"2019-06-27T10:30:00.000","Brooklyn","Pool","Douglas and Degraw","Cool Pools","Agency Produced Event","Nature","Cool Pools","70","General Public"
"Recreation",,"2019-03-16T10:00:00.000","Manhattan","Recreation Center","Recreation Center 54","Pre-Spring Family Art and Design","Agency Produced Event","Arts/Culture",,"27","Adaptive;#Teens;#Adults;#Young Adult;#General Public;#Seniors;#Children"
"Urban Park Rangers","NYC Parks Central Recreation","2019-06-15T11:00:00.000","Manhattan","Park","Central Park","Adventures NYC","Agency Produced Event","Sport",,"5000","Children;#Young Adult;#Adults;#Teens"
"Urban Park Rangers",,"2019-06-27T10:30:00.000","Staten Island","Pool","West Brighton","Jaw Dropping Sharks","Agency Produced Event","Nature","Cool Pools","45","General Public"
"Recreation",,"2018-01-31T00:00:00.000","Manhattan","Recreation Center","Alfred E. Smith Recreation Center","Event National Women & Girls Sports Day","Community Based Event","Sport","Tier 1","757","Tot;#Children"
"Recreation",,"2018-06-15T20:30:00.000","Staten Island","Park","CPL. Thompson Park","Movies Under the Stars: The Black Panther","Community Based Event","Mobile Unit","Movies","125","General Public"
"Urban Park Rangers","Bayside Historical Society","2019-06-26T17:00:00.000","Queens","Park","Fort Totten Park","Independence Day Celebration at Fort Totten Park","Community Based Event","Family Festival",,"800","General Public"
"Urban Park Rangers",,"2019-06-27T14:30:00.000","Staten Island","Pool","Tottenville","Jaw Dropping Sharks","Agency Produced Event","Nature","Cool Pools","35","General Public"
"Urban Park Rangers",,"2019-06-27T10:30:00.000","Queens","Pool","Fisher Pool","Gone Fishin'","Agency Produced Event","Nature","Cool Pools","76","General Public"
"Urban Park Rangers",,"2019-06-27T10:30:00.000","Bronx","Pool","Mapes","Trivia and Backyard Bass","Agency Produced Event","Nature","Cool Pools","120","General Public"
"Urban Park Rangers",,"2019-06-27T14:30:00.000","Bronx","Pool","Claremont","Trivia and Hungry Hermit Crabs","Agency Produced Event","Nature","Cool Pools","65","General Public"
