"unit","group_name_partner","date_and_time","borough","locationtype","location","event_name","event_type","category","classification","attendance","audience"
"Recreation","Art Students League","2021-05-25T12:00:00.000","Manhattan","Park","Sakura Park","ACF Watercolor Workshop","Community Based Event","Arts/Culture","AC&F","15","Adults;#General Public"
"Recreation","MOME","2021-05-22T20:00:00.000","Manhattan","Playground","Blake Hobbs Playground","MUTS - The Karate Kid","Community Based Event","Mobile Unit","M.U.T.S","50","General Public"
"Recreation","MOME","2021-05-28T20:00:00.000","Manhattan","Park","Chelsea Park","MUTS - Doolittle","Community Based Event","Mobile Unit","M.U.T.S","75","General Public"
"Recreation",,"2021-06-11T11:00:00.000","Bronx","Playground","Saw Mill Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","61","General Public"
"Recreation","MOME","2021-05-15T20:00:00.000","Manhattan","Playground","Wagner Playground","MUTS - Aladdin","Community Based Event","Mobile Unit","M.U.T.S","45","General Public"
"Recreation",,"2018-06-06T00:00:00.000","Manhattan","Recreation Center","Pelham Fritz Recreation Center","Puppet Mobile","Community Based Event","Mobile Unit",,"150","Tot;#Children"
"Recreation","ADAPT Community Network","2021-06-11T11:00:00.000","Bronx","Park","Poe Park","Virtual Special Express Writers","Agency Produced Event","Arts/Culture","Summer 2020","14","Adaptive"
"Recreation",,"2021-06-15T14:00:00.000","Bronx","Playground","Sachkerah Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","15","General Public"
"Recreation",,"2021-06-15T11:00:00.000","Bronx","Playground","Woodlawn Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","32","General Public"
"Recreation","Poe Park Visitor Center","2021-06-15T14:00:00.000","Bronx","Recreation Center","Poe Park Visitor Center","Art Culture and Fun - Dancing in the Street","Local Event","Arts/Culture","AC&F","50","Tot;#Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive"
"Recreation",,"2021-06-16T11:00:00.000","Bronx","Playground","Soundview Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","24","General Public"
"Recreation","Poe Park Visitor Center","2021-06-15T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Spring Programs","Local Event","Academic/Out of School time","Play","15","Children;#Adaptive"
"Public Programs","CM Ayala","2021-06-11T21:00:00.000","Bronx","Playground","Saw Mill Playground","Raya","Community Based Event","Mobile Unit","M.U.T.S","180","General Public;#Adaptive;#Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors"
"Recreation",,"2021-06-12T00:00:00.000","Bronx","Other","26--68 Decatur Ave Between 194 St and 195 St.","Jose Rivera Family Day Event","Community Based Event","Mobile Unit","Play","65","General Public"
"Recreation","PS 107","2021-06-16T11:00:00.000","Bronx","Park","Soundview Park","Monologues for Kids","Agency Produced Event","Arts/Culture",,"16","Children"
"Recreation","ACF Jazz Foundation of America","2021-06-16T13:00:00.000","Bronx","Park","Soundview Park","ACF Annette St. John and Friends Jazz Concert","Agency Produced Event","Arts/Culture","Summer 2020","19","General Public"
"Recreation","Harlem Dance Club","2018-06-16T13:30:00.000","Manhattan","Recreation Center","Pelham Fritz Recreation Center","Harlem Dance: Samba-Afro-Brazilian","Community Based Event","Arts/Culture","Dance","70","General Public"
"Recreation",,"2021-06-16T14:00:00.000","Bronx","Playground","Poe Park","POP UP SITE","Community Based Event","Mobile Unit","Play","48","General Public"
"Recreation","ADAPT Community Network","2021-06-18T11:00:00.000","Bronx","Park","Poe Park","Virtual Special Express Writers","Agency Produced Event","Arts/Culture",,"0","Adaptive"
"Recreation","ACF Art Students League","2021-06-16T15:00:00.000","Bronx","Park","St. James Park","ACF Watercolor Class with Amy Digi","Agency Produced Event","Arts/Culture",,"34","General Public"
"Public Programs","CM Dinowitz","2021-06-12T21:00:00.000","Bronx","Park","Seton Park","Ferris Bueller's Day Off","Community Based Event","Mobile Unit","M.U.T.S","340","Young Adult;#Adults;#Teens;#Adaptive;#Seniors"
"Recreation",,"2021-06-17T11:00:00.000","Bronx","Playground","Martin Van Buren Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","5","General Public"
"Recreation",,"2021-06-17T15:00:00.000","Bronx","Other","Co-Op City (Section 1 Greenway)","NYPD EVENT","Community Based Event","Mobile Unit","Play","45","General Public"
"Recreation","MOME","2021-06-17T20:00:00.000","Manhattan","Park","Thomas Jefferson Park","MUTS - Trolls World Tour","Community Based Event","Mobile Unit","M.U.T.S","125","General Public"
"Recreation",,"2021-06-18T11:00:00.000","Bronx","Playground","Franz Siegel Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","19","General Public"
"Recreation",,"2021-06-19T11:00:00.000","Bronx","Playground","Mott Playground","Community Family and Friends Day Event","Community Based Event","Mobile Unit","Play","63","General Public"
"Recreation","MOME","2021-06-18T20:00:00.000","Manhattan","Park","Twenty-Four Sycamores Park","MUTS - A Dog's Purpose","Community Based Event","Mobile Unit","M.U.T.S","60","General Public"
"Recreation","Jazz Foundation of America","2018-06-14T18:30:00.000","Manhattan","Park","Jackie Robinson Park","Jazz Concert - R&B","Community Based Event","Arts/Culture","Music","100","General Public"
"Recreation",,"2021-06-22T15:00:00.000","Bronx","Playground","People's Park","POP UP SITE","Community Based Event","Mobile Unit","Play","0","General Public"
"Recreation","ACF Art Students League","2021-06-19T15:00:00.000","Bronx","Park","Soundview Park","ACF Dancing in the Streets","Agency Produced Event","Arts/Culture","AC&F","27","General Public"
"Recreation","Art Students League","2021-06-05T15:00:00.000","Queens","Playground","Beach 30th Street Playground","Watercolor Painting Workshop","Community Based Event","Arts/Culture","AC&F","75","Children;#Tot;#Young Adult;#Adults;#Teens;#General Public"
"Recreation","PS 107 Ms. Hamm","2021-06-23T11:00:00.000","Bronx","Park","Soundview Park","Monologues for Kids","Agency Produced Event","Arts/Culture","Summer 2020","11","Children"
"Recreation",,"2021-06-22T11:00:00.000","Bronx","Playground","St. Mary's Park East","POP UP SITE","Community Based Event","Mobile Unit","Play","0","General Public"
"Public Programs",,"2021-06-14T15:00:00.000","Queens","Playground","Broad Channel Playground","Flag Day Event","Community Based Event","Mobile Unit","Play","85","General Public"
"Public Programs","CM Salamanca","2021-06-24T00:00:00.000","Bronx","Playground","Playground 52 LII","Sonic the Hedgehog","Community Based Event","Mobile Unit","M.U.T.S","180","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation","Arts Culture Fun Art Students League","2021-06-23T15:00:00.000","Bronx","Park","St. James Park","ACF Watercolor workshops","Agency Produced Event","Arts/Culture","AC&F","10","General Public"
"Recreation","Khadija Davis","2021-06-25T11:00:00.000","Bronx","Playground","Concrete Park/Bronx River Alliance","POP UP SITE","Community Based Event","Mobile Unit","Play","15","General Public"
"Recreation","ADAPT Maria Kukrachenco","2021-06-25T11:00:00.000","Bronx","Park","Poe Park","Virtual Special Express Writers","Agency Produced Event","Arts/Culture","Summer 2020","9","Adaptive"
"Recreation","Harlem Dance Club","2018-06-23T13:30:00.000","Manhattan","Recreation Center","Pelham Fritz Recreation Center","Harlem Dance: Afro Dance","Community Based Event","Arts/Culture","Dance","65","General Public"
"Recreation","Khadija Davis","2021-06-24T13:00:00.000","Bronx","Other","Washington Avenue","Linda Kemp's Event","Community Based Event","Mobile Unit","Play","126","General Public"
"Recreation",,"2021-06-23T11:00:00.000","Bronx","Playground","Soundview Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","21","General Public"
"Recreation","Jazz Foundation of America","2021-06-24T17:00:00.000","Manhattan","Recreation Center","Asser Levy Recreation Center","Arts, Culture & Fun Jazz Concert","Community Based Event","Performance","AC&F","60","General Public"
"Public Programs","CM Salamanca","2021-06-25T21:05:00.000","Bronx","Playground","Saw Mill Playground","Raya and the Last Dragon","Community Based Event","Mobile Unit","M.U.T.S","210","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation","Khadija Davis","2021-06-26T13:00:00.000","Bronx","Playground","Devoe Park","Tobielynne Buford's Event","Community Based Event","Mobile Unit","Play","52","General Public"
"Public Programs","CM Ayala","2021-06-18T21:05:00.000","Bronx","Park","Franz Sigel Park","Sonic the Hedgehog","Community Based Event","Mobile Unit","M.U.T.S","110","Tot;#Young Adult;#Children;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation","MOME","2021-06-24T20:00:00.000","Manhattan","Playground","Fred Samuel Playground","MUTS: 10 Things I Hate About You","Community Based Event","Mobile Unit","M.U.T.S","78","General Public"
"Recreation","MOME","2021-06-25T20:00:00.000","Manhattan","Park","James J Walker Park","MUTS: Priscilla Queen of the Desert","Community Based Event","Mobile Unit","M.U.T.S","78","General Public"
"Urban Park Rangers","General Public","2021-06-28T14:45:00.000","Staten Island","Pool","West Brighton","Cool Pools","Agency Produced Event","Nature",,"84","General Public"
"Recreation","MOME","2021-06-26T20:00:00.000","Manhattan","Other","Sol Lain Plgd","MUTS: The Croods: A New Age","Community Based Event","Mobile Unit","M.U.T.S","100","General Public"
"Recreation",,"2018-06-21T18:00:00.000","Manhattan","Playground","Vesuvio Playground","Movies Under the Stars","Community Based Event","Mobile Unit","Movies","52","General Public"
"Recreation","PS 107","2021-06-30T11:00:00.000","Bronx","Park","Soundview Park","Monologues for Kids","Agency Produced Event","Arts/Culture",,"0","Children"
"Recreation","Council Member Keith Powers","2021-06-26T12:00:00.000","Manhattan","Playground","Murphy's Brother's Playground","Family Fun Day","Community Based Event","Family Festival","Play","60","General Public"
"Recreation","ACF Art Students League","2021-06-30T15:00:00.000","Bronx","Park","St. James Park","ACF Watercolor Art Workshop","Agency Produced Event","Arts/Culture","AC&F","0","General Public"
"Recreation",,"2021-06-29T20:00:00.000","Queens","Park","Kissena Corridor Park","Frozen (2013)","Community Based Event","Mobile Unit","M.U.T.S","215","General Public"
"Recreation","Khadija Davis","2021-07-01T11:00:00.000","Bronx","Playground","Woodlawn Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","48","General Public"
"Public Programs",,"2021-07-01T21:00:00.000","Bronx","Playground","Woodlawn Playground","Toy Story 4","Community Based Event","Mobile Unit","M.U.T.S","0","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation","ADAPT Community Network","2021-07-02T11:00:00.000","Bronx","Park","Poe Park","Special Express Writers","Agency Produced Event","Arts/Culture","Summer 2020","13","Adaptive"
"Recreation","Poe Park Visitor Center","2021-07-06T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","12","Children;#Tot"
,,"2023-05-27T19:30:00.000","Manhattan",,"St. Catherine's Park","Movies Under the Stars: Dune",,"Mobile Unit","M.U.T.S","195",
"Recreation",,"2021-07-03T16:00:00.000","Queens","Park","Bayswater Park","Trolls World Tour (2020)","Community Based Event","Mobile Unit","M.U.T.S","34","General Public"
"Recreation",,"2021-07-01T16:00:00.000","Queens","Park","Roy Wilkins Park","Scoob! (2020)","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation",,"2017-07-22T18:00:00.000","Bronx","Park","Pelham Bay Park","AC&F Taikoza drummers performance","Local Event","Arts/Culture","AC&F","120","General Public"
"Urban Park Rangers","General Public","2021-07-06T15:00:00.000","Queens","Pool","Liberty","Cool Pools","Agency Produced Event","Nature","Cool Pools","25","General Public"
"Urban Park Rangers","General Public","2021-07-02T15:00:00.000","Queens","Pool","Fisher Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","5","General Public"
"Recreation",,"2021-07-02T15:00:00.000","Queens","Park","Louis C. Moser Park","The Croods: A New Age (2020)","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation","Poe Park Visitor Center","2021-07-06T14:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","12","Children;#Tot"
"Recreation","PS 107","2021-07-07T11:00:00.000","Bronx","Park","Soundview Park","Monologues for Kids","Agency Produced Event","Arts/Culture","Summer 2020","0","Children"
"Recreation","ACF Art Students League","2021-07-07T15:00:00.000","Bronx","Park","Soundview Park","ACF Watercolor Workshop","Agency Produced Event","Arts/Culture","AC&F","12","General Public"
"Recreation","Poe Park Visitor Center","2021-07-07T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","15","Tot;#Children;#General Public"
"Recreation","art< culture & fun","2021-07-07T15:00:00.000","Bronx","Playground","LORETO PLAYGROUND","ACF ART WORKSHOP","Local Event","Arts/Culture","AC&F","25","Children;#General Public"
"Recreation",,"2021-06-02T21:00:00.000","Brooklyn","Recreation Center","McCarren Play Center","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","50","General Public"
"Recreation",,"2021-06-10T21:00:00.000","Brooklyn","Recreation Center","McCarren Play Center","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","60","General Public"
"Recreation",,"2018-06-23T10:00:00.000","Manhattan","Playground","Asser Levy Playground","Family Field and Game Day","Community Based Event","Family Festival",,"90","General Public"
"Recreation",,"2021-06-17T21:00:00.000","Brooklyn","Park","Prospect Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","50","Adults"
"Recreation",,"2021-06-05T21:00:00.000","Brooklyn","Playground","Cypress Hills Playground","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","30","General Public"
"Recreation",,"2021-06-12T21:00:00.000","Brooklyn","Park","Commodore Barry Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","40","General Public"
"Recreation",,"2021-06-26T21:00:00.000","Brooklyn","Park","McKinley Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","200","General Public"
"Recreation",,"2021-06-18T21:00:00.000","Brooklyn","Playground","St. Andrew's Playground","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","60","Young Adult;#Adults"
"Recreation",,"2021-06-25T21:00:00.000","Brooklyn","Playground","P.O. Reinaldo Salgado Playground","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","40","General Public"
"Recreation",,"2021-06-24T21:00:00.000","Brooklyn","Park","Prospect Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","250","General Public"
"Recreation",,"2021-06-04T21:00:00.000","Brooklyn","Park","Sunset Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation",,"2021-06-19T21:00:00.000","Brooklyn","Park","Brower Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation",,"2021-06-27T21:00:00.000","Brooklyn","Park","Cooper Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","90","General Public"
"Recreation",,"2018-06-07T00:00:00.000","Manhattan","Recreation Center","Tony Dapolito Recreation Center","Movie Under the Stars: Moonlight","Community Based Event","Arts/Culture","Movies","93","Adults;#Young Adult;#Seniors;#General Public;#Adaptive;#Teens"
"Recreation",,"2018-06-21T11:00:00.000","Manhattan","Recreation Center","Jackie Robinson Recreation Center","Members Appreciation","Community Based Event","Family Festival",,"25","General Public"
"Recreation",,"2021-06-28T21:00:00.000","Brooklyn","Playground","St. Andrew's Playground","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","40","General Public"
"Recreation",,"2021-06-29T21:00:00.000","Brooklyn","Playground","Harry Maze Playground","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","50","General Public"
"Urban Park Rangers","General Public","2021-07-08T15:00:00.000","Bronx","Pool","Mapes","Cool Pools","Agency Produced Event","Nature","Cool Pools","0","Tot;#Children;#Adults;#Young Adult;#Teens;#General Public"
"Recreation",,"2021-07-08T12:00:00.000","Bronx","Playground","Gun Hill Meadow","POP UP SITE","Community Based Event","Mobile Unit","Play","25","General Public"
"Recreation",,"2021-06-30T21:00:00.000","Brooklyn","Park","Kaiser Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation","ACF Jazz Foundation","2021-06-11T18:00:00.000","Staten Island","Park","Clove Lakes Park","ACF Jazz Concert","Agency Produced Event","Arts/Culture","AC&F","58","Adults"
"Recreation","Puppetmobile","2021-06-26T11:00:00.000","Staten Island","Park","Faber Pool and Park","PuppetMobile Puppet Time Show","Agency Produced Event","Mobile Unit","Play","50","Young Adult;#Children;#Tot;#General Public"
"Recreation","ACF Art Student League","2021-07-09T10:00:00.000","Staten Island","Park","Conference House Park","ACF Art Workshop","Agency Produced Event","Arts/Culture","AC&F","25","Seniors;#Adults;#General Public"
"Recreation","ACF Jazz Foundation","2021-07-08T03:00:00.000","Staten Island","Park","Faber Pool and Park","ACF Jazz Concert","Agency Produced Event","Arts/Culture","AC&F","20","Adults;#Teens;#General Public;#Seniors"
"Public Programs","N/A","2021-07-08T09:00:00.000","Bronx","Park","Gun Hill Meadow","Movies Under the Stars - Coco","Community Based Event","Mobile Unit","M.U.T.S","0","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation",,"2017-11-04T18:00:00.000","Bronx","Recreation Center","St. James Recreation Center","Art, Culture & Fun: Quilting Memories Workshop","Local Event","Arts/Culture","AC&F","120","Seniors;#Adults;#Young Adult"
"Recreation","Movies","2021-06-25T20:00:00.000","Staten Island","Park","Midland Beach","MUTS-Captian America","Agency Produced Event","Mobile Unit","M.U.T.S","39","General Public"
"Recreation","ADAPT Community Network","2021-07-09T11:00:00.000","Bronx","Park","Poe Park","Virtual Special Express Writers","Agency Produced Event","Arts/Culture","Summer 2020","16","Adaptive"
"Recreation","Playmobile","2021-07-03T11:00:00.000","Staten Island","Park","Tompkinsville Park","Playmobile at Tompkinsville Park","Agency Produced Event","Mobile Unit","Play","0","General Public"
"Recreation","Movies","2021-06-26T20:00:00.000","Staten Island","Park","Clove Lakes Park","MUTS-Coco","Agency Produced Event","Mobile Unit","M.U.T.S","50","General Public"
"Recreation","Movies","2021-07-03T20:00:00.000","Staten Island","Park","CPL. Thompson Park","MUTS- Independence Day","Agency Produced Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation","Playmobile","2021-07-03T14:00:00.000","Staten Island","Park","Tappen Park","Playmobile at Tappan Park","Agency Produced Event","Mobile Unit","Play","0","General Public"
"Public Programs","N/A","2021-07-06T09:00:00.000","Bronx","Park","Williamsbridge Oval Park","Movies Under the Stars - Raya and the Last Dragon","Community Based Event","Mobile Unit","M.U.T.S","0","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation","Movies","2021-07-02T20:00:00.000","Staten Island","Park","Conference House Park","MUTS-Trolls","Agency Produced Event","Mobile Unit","M.U.T.S","0","General Public"
"Urban Park Rangers","General Public","2021-07-09T15:00:00.000","Queens","Pool","Fisher Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","7","General Public"
"Recreation","NYPD","2021-07-01T00:00:00.000","Staten Island","Park","Mahoney Park","NYPD PBSI Summer Growth Bash","Community Based Event","Mobile Unit","Play","0","General Public"
"Recreation","Council Member Salamanca","2018-08-13T20:00:00.000","Bronx","Playground","Playground 52 LII","Movies Under The Stars: Coco","Community Based Event","Mobile Unit","Movies","0","General Public"
"Public Programs","N/A","2021-07-02T09:00:00.000","Bronx","Park","Concrete Plant Park","Movies Under the Stars - Moana","Community Based Event","Mobile Unit","M.U.T.S","0","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Public Programs","N/A","2021-07-02T09:00:00.000","Bronx","Park","Concrete Plant Park","Movies Under the Stars - Moana","Community Based Event","Mobile Unit","M.U.T.S","0","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation",,"2021-07-10T11:00:00.000","Bronx","Playground","Woodlawn Playground","POP UP SITE","Community Based Event","Mobile Unit","Play","60","General Public"
"Urban Park Rangers","General Public","2021-07-09T14:30:00.000","Staten Island","Pool","West Brighton","Cool Pools","Local Event","Nature","Cool Pools","22","Children;#Young Adult;#Adults;#Teens;#General Public"
"Urban Park Rangers","General Public","2021-06-29T15:00:00.000","Bronx","Pool","Haffen Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","38","Children;#Young Adult;#Adults;#Teens"
"Urban Park Rangers","General Public","2021-07-08T14:45:00.000","Manhattan","Pool","Sheltering Arms","Cool Pools","Agency Produced Event","Nature","Cool Pools","5","General Public"
"Urban Park Rangers","General Public","2021-06-29T15:40:00.000","Bronx","Pool","Van Cortlandt Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","58","Children;#Young Adult;#Adults;#Teens"
"Urban Park Rangers","General Public","2021-07-09T15:00:00.000","Staten Island","Pool","West Brighton","Cool Pools","Agency Produced Event","Nature","Cool Pools","22","General Public"
"Urban Park Rangers","General Public","2021-07-07T14:45:00.000","Manhattan","Pool","Dry Dock","Cool Pools","Agency Produced Event","Nature","Cool Pools","20","General Public"
"Urban Park Rangers","General Public","2021-07-06T15:00:00.000","Bronx","Pool","Mullaly Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","32","Children;#Young Adult;#Adults;#Teens"
"Recreation",,"2017-08-01T12:00:00.000","Brooklyn","Recreation Center","Sunset Park Recreation Center","Cops & Kids basketball classic","Local Event","Sport","Tier 1","24","Teens;#Young Adult;#Adults"
"Urban Park Rangers","General Public","2021-07-02T15:00:00.000","Staten Island","Pool","Tottenville","Cool Pools","Agency Produced Event","Nature","Cool Pools","5","General Public"
"Recreation","Poe Park Visitor Center","2021-07-08T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","10","Tot;#General Public"
"Recreation","Poe Park Visitor Center","2021-07-09T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","10","Tot;#Children;#General Public"
"Recreation","Poe Park Visitor Center","2021-07-12T13:30:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","9","Children;#General Public"
"Recreation","Poe Park Visitor Center","2021-07-12T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","8","General Public"
"Urban Park Rangers","General Public","2021-07-12T15:00:00.000","Brooklyn","Pool","Bushwick Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","0","General Public"
"Urban Park Rangers","General Public","2021-06-29T14:45:00.000","Manhattan","Pool","Sheltering Arms","Walking Sticks and the Insects of NYC","Community Based Event","Nature","Cool Pools","31","General Public"
"Recreation",,"2021-07-10T16:00:00.000","Queens","Playground","Colden Playground","Sonic the Hedgehog (2020)","Community Based Event","Mobile Unit","M.U.T.S","135","General Public"
"Urban Park Rangers","General Public","2021-07-12T14:50:00.000","Staten Island","Pool","West Brighton","Cool Pools","Agency Produced Event","Nature","Cool Pools","7","General Public"
"Recreation","DOE","2021-07-09T17:00:00.000","Queens","Park","Travers Park","Public School Film Festival","Community Based Event","Mobile Unit","M.U.T.S","82","General Public"
"Recreation",,"2017-07-15T19:00:00.000","Bronx","Park","Starlight Park","AC&F Concert for the Bronx River Alliance Flotilla event","Local Event","Arts/Culture","AC&F","100","General Public"
"Urban Park Rangers","General Public","2021-06-28T15:00:00.000","Brooklyn","Pool","Bushwick Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","17","General Public"
,,"2023-06-04T16:00:00.000","Queens",,"Flushing Meadows Corona Park","Spring Family Day",,"Family Festival","Music","300",
"Urban Park Rangers","General Public","2021-07-02T15:00:00.000","Brooklyn","Pool","Douglass and DeGraw Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","15","General Public"
"Recreation","Poe Park Visitor Center","2021-07-13T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","10","General Public;#Children"
"Recreation","Poe Park Visitor Center","2021-07-13T13:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","20","Children"
"Recreation",,"2021-07-07T11:00:00.000","Queens","Park","Astoria Heights Park","Mobile Unit Pop- UP","Community Based Event","Mobile Unit","Play","8","General Public"
"Recreation","ACF Art Students League","2021-07-14T15:00:00.000","Bronx","Park","Soundview Park","ACF Watercolor Workshop","Agency Produced Event","Arts/Culture","Play","6","General Public"
"Urban Park Rangers","General Public","2021-07-05T15:00:00.000","Brooklyn","Pool","Howard Pool","Stickin 2 Bugz","Agency Produced Event","Nature","Cool Pools","10","General Public"
"Recreation","PS 107","2021-07-14T10:00:00.000","Bronx","Park","Soundview Park","Monologues for Kids","Agency Produced Event","Arts/Culture","Summer 2020","0","Children"
"Urban Park Rangers","General Public","2021-07-14T15:00:00.000","Queens","Pool","Liberty","Cool Pools","Agency Produced Event","Nature","Cool Pools","10","General Public"
"Urban Park Rangers","General Public","2021-07-13T15:00:00.000","Bronx","Pool","Haffen Pool","Cool Pools","Agency Produced Event","Nature","Cool Pools","14","Children;#Young Adult;#Adults"
"Recreation",,"2017-08-11T00:00:00.000","Bronx","Recreation Center","Williamsbridge Oval Recreation Center","Arts, Culture & Fun Movie Fest at WBO","Local Event","Arts/Culture","AC&F","55","General Public"
"Recreation","Loreto Playground","2021-07-14T15:00:00.000","Bronx","Playground","LORETO PLAYGROUND","ACF ART WORKSHOP","Local Event","Arts/Culture","AC&F","12","Children;#General Public"
"Recreation",,"2021-07-13T11:00:00.000","Bronx","Playground","St. Mary's Park West","POP UP SITE","Community Based Event","Mobile Unit","Play","95","General Public"
"Recreation","MOME","2021-07-14T21:00:00.000","Manhattan","Playground","Annunciation Playground","MUTS: The Princess and the Frog","Community Based Event","Mobile Unit","M.U.T.S","45","General Public"
"Recreation","Poe Park Visitor Center","2021-07-14T11:00:00.000","Bronx","Playground","Poe Park Visitor Center","Summer Programming","Local Event","Academic/Out of School time","Play","2","Children"
"Recreation",,"2021-06-11T20:30:00.000","Brooklyn","Park","Sunset Park","Art Of Brooklyn Film Festival","Community Based Event","Mobile Unit","M.U.T.S","300","General Public"
"Recreation",,"2021-07-08T11:00:00.000","Queens","Playground","Beach 59th St Playground","Mobile Unit Pop- UP","Community Based Event","Mobile Unit",,"30","General Public"
"Recreation","MOME","2021-07-10T21:00:00.000","Manhattan","Park","J. Hood Wright Park","MUTS NYC Public School Film Festival","Community Based Event","Mobile Unit","M.U.T.S","85","General Public"
"Recreation",,"2021-07-01T20:30:00.000","Brooklyn","Park","Cadman Plaza Park","Captain Marvel (2019)","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation",,"2021-06-11T21:00:00.000","Brooklyn","Park","Sunset Park","Movies Under the Stars","Community Based Event","Mobile Unit","M.U.T.S","200","General Public"
"Recreation",,"2021-07-08T20:30:00.000","Brooklyn","Park","Owl's Head Park","Indiana Jones and the Raiders of the Lost Ark (1981)","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation",,"2017-10-17T10:00:00.000","Staten Island","Recreation Center","Greenbelt Recreation Center","Bea Victor Senoir Olympics","Tournament/Competition","Sport","Tier 3","125","Seniors"
"Recreation",,"2021-07-07T20:30:00.000","Brooklyn","Park","Msgr. McGolrick Park","Eighth Grade (2018)","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation",,"2021-07-06T20:30:00.000","Brooklyn","Playground","Cypress Hills Playground","Sonic the Hedgehog (2020)","Community Based Event","Mobile Unit","M.U.T.S","0","General Public"
"Recreation","Arts, Culture and Fun","2021-07-15T12:00:00.000","Staten Island","Park","De Matti Park",,"Agency Produced Event","Arts/Culture",,"20","General Public"
"Urban Park Rangers","General Public","2021-07-15T15:00:00.000","Brooklyn","Park","Commodore Barry Park","Cool Pools","Agency Produced Event","Nature","Cool Pools","15","General Public"
